URL,Melting Point
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/61535/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/24915/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/9570208/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/121752/xml?heading=Melting+Point,7.08 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/121752/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/169132/xml?heading=Melting+Point,"-76 °F (NTP, 1992)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/169132/xml?heading=Melting+Point,Approximately -60 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/169132/xml?heading=Melting+Point,-60 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/169132/xml?heading=Melting+Point,-76°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/169132/xml?heading=Melting+Point,-76°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/169132/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/6441410/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/162887/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7597/xml?heading=Melting+Point,83.0 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7597/xml?heading=Melting+Point,80-81 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7597/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/62343/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/75381/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/82916/xml?heading=Melting+Point,-56.4 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/82916/xml?heading=Melting+Point,-70 TO -69 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/82916/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/84892/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/78771/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,"-31 °F (NTP, 1992)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,-35.0 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,-35 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,35°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,-35 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,-31°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,-31°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3026/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/59931731/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/20551/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/70837/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5362708/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22833321/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3608562/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/92506/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/1549789/xml?heading=Melting+Point,< -30
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/1549789/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/151008/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5357179/xml?heading=Melting+Point,"-0.4 °F (USCG, 1999)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5357179/xml?heading=Melting+Point,-9.25 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5357179/xml?heading=Melting+Point,-17 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5357179/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/91998346/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/73555394/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/1501912/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/15334712/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/6436133/xml?heading=Melting+Point,116-119 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/6436133/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7115/xml?heading=Melting+Point,"415 °F (NIOSH, 2016)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7115/xml?heading=Melting+Point,210.1 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7115/xml?heading=Melting+Point,210.1 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7115/xml?heading=Melting+Point,"Crumbly, wax-like flakes at room temperature and light amber liquids above the melting point /Commercial terphenyl mixtures/"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7115/xml?heading=Melting+Point,415°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7115/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/31423/xml?heading=Melting+Point,"313 °F (EPA, 1998)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/31423/xml?heading=Melting+Point,151.2 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/31423/xml?heading=Melting+Point,150.62 °C
