0,1,2,3
,,8.6 10−4×,2100 De Bruyn et al. (1995b) M
,,1.1 ×10−3,2300 Suleimenov and Krupp (1994) M
,,9.4 10−4×,2300 Barrett et al. (1988) M
,,1.0 ×10−3,2100 Winkler (1906) M
,,9.6 ×10−4,2000 Iliuta and Larachi (2007) R
,,1.0 10−3×,Hine and Weimar Jr. (1965) R
,,1.0 ×10−3,1900 Fogg and Young (1988) X 5
,,1.0×10−3,2300 Dean (1992) ? 6
,,,Chapoy et al. (2005) W 74
,sulfur dioxide,1.3×10−2,2900 Sander et al. (2011) L
,SO2,1.3×10−2,2900 Sander et al. (2006) L
,[7446-09-5],1.2 10−2×,3100 Yoo et al. (1986) L
,,1.2 10−2×,3200 Maahs (1982) L
,,1.2×10−2,3000 Edwards et al. (1978) L
,,1.4 10−2×,2800 Wilhelm et al. (1977) L
,,4.0×10−1,St-Pierre et al. (2014) M 75
,,1.2 ×10−2,3100 Johnstone and Leppla (1934) M
,,1.1×10−2,1400 Terraglio and Manganelli (1967) V
,,1.2 ×10−2,3100 Chameides (1984) T
,,1.3×10−2,2900 Young (1983) X 5
,,1.2×10−2,3100 Pandis and Seinfeld (1989) C
,,1.5 ×10−2,2900 Dean (1992) ? 6
,,1.2 ×10−2,3100 Seinfeld (1986) ? 7
,,1.2 10−2×,3100 Hoffmann and Jacob (1984) ? 7
,sulfur trioxide,∞,Sander and Crutzen (1996) E 37
,SO3,,
,[7446-11-9],,
,sulfuric acid,,Marti et al. (1997) M 76
,H2SO4,,Ayers et al. (1980) M 77
,[7664-93-9],,Gmitro and Vermeulen (1964) M 78
,,,Clegg et al. (1998) V 79
,,1.3×1013,20000 Hoffmann and Calvert (1985) T
,,2.9×107,10000 Ayers (1983) T
,sulfur hexafluoride,2.4 10−6×,3100 Warneck and Williams (2012) L
,SF6,2.5 ×10−6,2100 Fernández-Prini et al. (2003) L 1
,[2551-62-4],2.4 10−6×,2400 Wilhelm et al. (1977) L
,,2.4×10−6,2900 Bullister et al. (2002) M
,,1.4×10−6,Guitart et al. (1989) M 19
,,2.4×10−6,Park et al. (1982) M
,,2.6 10−6×,2400 Ashton et al. (1968) M
,,2.2 10−6×,Giardino et al. (1988) V
,,,3200 Kühne et al. (2005) Q
,,,2800 Kühne et al. (2005) ?
,sulfuryl fluoride,8.9 10−5×,3100 Cady and Misra (1974) M
,SO2F2,,
,[2699-79-8],,
,Ra,re gases (H,"e, Ne, Ar, Kr, Xe, Rn)"
,helium,3.9×10−6,15 Fernández-Prini et al. (2003) L 1
,He,3.8 10−6×,83 Abraham and Matteoli (1988) L
,[7440-59-7],3.8×10−6,92 Wilhelm et al. (1977) L
,,3.9×10−6,69 Krause Jr. and Benson (1989) M
,,3.7×10−6,360 Morrison and Johnstone (1954) M
,,3.8 ×10−6,"83 Clever (1979a) X 3, 80"
,,3.8 10−6×,"120 Clever (1979a) X 5, 81"
,,3.7×10−6,440 Dean (1992) ? 6
,,3.8 ×10−6,Abraham et al. (1990) ?
,neon,4.5 ×10−6,430 Fernández-Prini et al. (2003) L 1
,Ne,4.4 ×10−6,470 Abraham and Matteoli (1988) L
,[7440-01-9],4.4×10−6,450 Wilhelm et al. (1977) L
,,4.5 ×10−6,440 Krause Jr. and Benson (1989) M
,,4.4×10−6,510 Crovetto et al. (1982) M
,,4.5 10−6×,530 Morrison and Johnstone (1954) M
,,4.5 10−6×,470 Clever (1979a) X 5
,,4.5×10−6,640 Dean (1992) ? 6
,,4.4×10−6,Abraham et al. (1990) ?
,argon,1.4 ×10−5,1700 Warneck and Williams (2012) L
,Ar,1.4 10−5×,1400 Fernández-Prini et al. (2003) L 1
,[7440-37-1],1.4×10−5,1500 Abraham and Matteoli (1988) L
,,1.4 ×10−5,1500 Wilhelm et al. (1977) L
,,1.4×10−5,1600 Rettich et al. (1992) M
,,1.4 10−5×,1400 Krause Jr. and Benson (1989) M
,,1.4×10−5,Park et al. (1982) M
,,1.4 10−5×,1500 Crovetto et al. (1982) M
,,1.4×10,1400 Ashton et al. (1968) M
,,1.4×10−5,1100 Morrison and Johnstone (1954) M
,,1.5×10−5,1400 Winkler (1906) M
,,1.4×10−5,1500 Clever (1980) X 3
,,1.4×10−5,1500 Clever (1980) X 5
,,1.4 ×10−5,1700 Dean (1992) ? 6
,,1.4×10−5,Abraham et al. (1990) ?
,krypton,2.5×10−5,1700 Fernández-Prini et al. (2003) L 1
,Kr,2.5 ×10−5,1900 Abraham and Matteoli (1988) L
,[7439-90-9],2.5×10−5,1900 Wilhelm et al. (1977) L
,,2.0 10−5×,Steward et al. (1973) L 19
,,2.5×10−5,1800 Krause Jr. and Benson (1989) M
,,2.5 ×10−5,1900 Crovetto et al. (1982) M
,,2.4×10−5,1500 Morrison and Johnstone (1954) M
,,2.5 ×10−5,1900 Clever (1979b) X 3
,,2.5×10−5,1900 Clever (1979b) X 5
,,2.5 ×10−5,2100 Dean (1992) ? 6
,,2.5 10−5×,Abraham et al. (1990) ?
,xenon,4.4×10−5,2200 Fernández-Prini et al. (2003) L 1
,Xe,4.3 10−5×,2300 Abraham and Matteoli (1988) L
,[7440-63-3],4.2 10−5×,2200 Wilhelm et al. (1977) L
,,3.3×10−5,Steward et al. (1973) L 19
,,4.3 ×10−5,2300 Krause Jr. and Benson (1989) M
,,4.2 ×10−5,2400 Crovetto et al. (1982) M
,,4.3×10−5,1900 Morrison and Johnstone (1954) M
,,4.3×10−5,2300 Clever (1979b) X 5
,,4.9×10−5,2500 Dean (1992) ? 6
,,4.3 10−5×,Abraham et al. (1990) ?
,radon,9.1 10−5×,2900 Abraham and Matteoli (1988) L
,Rn,9.2 10−5×,2600 Wilhelm et al. (1977) L
,[10043-92-2],9.3 ×10−5,2600 Clever (1979b) X 3
,,9.2×10−5,2600 Lide and Frederikse (1995) ? 82
,,8.3 ×10−5,3200 Dean (1992) ? 6
,,9.1 10−5×,Abraham et al. (1990) ?
,O,ther elem,"ents (B, Se, P, As, Hg)"
,boric acid,3.8×106,HSDB (2015) V
,H3BO3,,
,[10043-35-3],,
,selenium hydride,8.3 10−4×,1900 Wilhelm et al. (1977) L
,H 2Se,8.1 ×10−4,1700 Fogg and Young (1988) X 5
,[7783-07-5],,
,phosphorus trihydride,8.1 10−5×,2000 Wilhelm et al. (1977) L
,PH3,5.9×10−5,3000 Fu et al. (2013) M 83
,(phosphine),,
,[7803-51-2],,
,arsenic hydride,8.8×10−5,2100 Wilhelm et al. (1977) L
,AsH3,,
,(arsine),,
,[7784-42-1],,
,mercury,1.1 10−3×,4800 Clever et al. (1985) L
,Hg,1.3×10−3,2700 Andersson et al. (2008) M
,[7439-97-6],1.3 ×10−3,2500 Sanemasa (1975) M
,,8.7 ×10−4,Mackay and Leinonen (1975) V
,,1.1 ×10−3,5700 Glew and Hames (1971) V
,,1.2 10−3×,2300 Clever (1987) X 84
,,1.2×10−3,Shon et al. (2005) C
,,1.4 10−3×,WHO (1990) C 9
,,1.4×10−3,"Schroeder and Munthe (1998) ? 9, 7"
,,1.3 10−3×,2700 Schroeder and Munthe (1998) ? 7
,,1.3 ×10−3,Petersen et al. (1998) ? 85
,,9.2×10−4,Brimblecombe (1986) ? 28
,mercury(II) oxide,3.2×104,Shon et al. (2005) ? 86
,HgO,2.7 1010×,Schroeder and Munthe (1998) ? 7
,[21908-53-2],1.4 104×,Petersen et al. (1998) ? 85
,mercury dihydroxide,1.3×102,4200 WHO (1990) C
,Hg(OH)2,1.3 ×102,4200 Lindqvist and Rodhe (1985) C
,mercury dichloride,1.0 103×,Severit (1997) M 87
,HgCl2,1.6×104,Abraham et al. (2008) V
,[7487-94-7],4.2×104,Abraham et al. (2008) V
,,1.3×104,7400 Kanefke (2008) R
,,2.4 105×,Shon et al. (2005) C
,,1.4×104,5300 WHO (1990) C
,,1.4×104,5300 Lindqvist and Rodhe (1985) C
,,4.2 ×104,7400 Abraham et al. (2008) Q 88
,,2.7 104×,"Schroeder and Munthe (1998) ? 9, 7"
,,1.4×104,9500 Braun and Dransfeld (1989) ? 89
,,6.3 102×,Iverfeldt and Persson (1985) ? 90
,mercury dibromide,1.2×103,Abraham et al. (2008) V
,HgBr2,9.6×102,7400 Kanefke (2008) C
,[7789-47-1],4.4×103,7100 Abraham et al. (2008) Q 88
,,2.7 ×104,Hedgecock et al. (2005) ? 91
,,5.2×101,Iverfeldt and Persson (1985) ? 90
,mercury diiodide,5.7×101,Abraham et al. (2008) V
,HgI2,2.0×102,6700 Abraham et al. (2008) Q 88
,[7774-29-0],1.9,Iverfeldt and Persson (1985) ? 90
,,Hydro,"carbons (C, H)"
,,,Alkanes
