CID,Melting Point,InChIKey
6345,-136.0,RWRIWBAIICGTTQ-UHFFFAOYSA-N
6396,-99.0,CZDYPVPMEAXLPK-UHFFFAOYSA-N
7488,83.5,LXEJRKJRKIFVNY-UHFFFAOYSA-N
7766,-43.0,OIFBSDVPJOWBCH-UHFFFAOYSA-N
11899,34.0,QUIMTLZDMCNYGY-UHFFFAOYSA-N
5352425,327.4,WABPQHHGFIMREM-UHFFFAOYSA-N
7795,-73.2,PQLMXFQTAMDXIZ-UHFFFAOYSA-N
70815,302.5,PJWWRFATQTVXHA-UHFFFAOYSA-N
1712058,80.0,HMKKIXGYKWDQSV-KAMYIIQDSA-N
8006,-58.9,MFESCIUQSIBMSM-UHFFFAOYSA-N
2707,57.0,RNFNDJAIBTYOQL-UHFFFAOYSA-N
69257,293.0,QNVNLUSHGRBCLO-UHFFFAOYSA-N
23368,-1.1,ZDQWESQEGGJUCH-UHFFFAOYSA-N
15595,77.5,SFVWPXMPRCIVOK-UHFFFAOYSA-N
12837,56.0,BMFYCFSWWDXEPB-UHFFFAOYSA-N
26177,27.0,ASLWPAWFJZFCKF-UHFFFAOYSA-N
6895,53.5,RELMFMZEBKVZJC-UHFFFAOYSA-N
5238,651.0,FVAUCKIRQBBSSJ-UHFFFAOYSA-M
66639,72.5,UPTOWXNJLZJTGD-UHFFFAOYSA-N
62097,66.0,WYVVKGNFXHOCQV-UHFFFAOYSA-N
8033,-40.0,LSXWFXONGKSEMY-UHFFFAOYSA-N
637758,7.0,KBEBGUQPQBELIU-CMDGGOBGSA-N
17520,156.6,DMSMPAJRVJJAGA-UHFFFAOYSA-N
13187,-7.5,VKCYHJWLYTUGCC-UHFFFAOYSA-N
8461,71.0,RMBFBMJGBANMMK-UHFFFAOYSA-N
7237,-25.2,CTQNGGLPUBDAKN-UHFFFAOYSA-N
7809,13.2,URLKBWYHVLBVBO-UHFFFAOYSA-N
638014,-35.0,PSQYTAPXSHCGMF-BQYQJAHWSA-N
17016,58.0,QQOMQLYQAXGHSU-UHFFFAOYSA-N
7929,-47.8,IVSZLXZYQVIEFR-UHFFFAOYSA-N
24261,1710.0,VYPSYNLAJGMNEJ-UHFFFAOYSA-N
6739,15.0,FVHAWXWFPBPFOS-UHFFFAOYSA-N
8361,43.0,ZQBAKBUEJOMQEX-UHFFFAOYSA-N
7601,26.5,ZOZIRNMDEZKZHM-UHFFFAOYSA-N
8560,-70.0,QUDWYFHPNIMBFC-UHFFFAOYSA-N
7594,150.0,OWRCNXZUPFZXOS-UHFFFAOYSA-N
6387,-0.5,WMXCDAVJEZZYLT-UHFFFAOYSA-N
8298,46.55,BRRVXFOKWJKTGG-UHFFFAOYSA-N
949,2.5,JLTDJTHDQAWBAV-UHFFFAOYSA-N
4875,681.0,NLKNQRATVPKPDG-UHFFFAOYSA-M
637511,-7.5,KJPRLNWUNMBNBZ-QPJJXVBHSA-N
1983,170.0,RZVAJINKPMORJF-UHFFFAOYSA-N
7441,133.5,XTTIQGSLJBWVIV-UHFFFAOYSA-N
8914,-5.0,ZWRUINPWMLAQRD-UHFFFAOYSA-N
7962,-126.6,UAEPNZWRGJTJPN-UHFFFAOYSA-N
6629,-9.0,YQHLDYVWEZKEOX-UHFFFAOYSA-N
16949,-37.0,YXALYBMHAYZKAP-UHFFFAOYSA-N
12021,3.0,IEJIGPNLZYLLBP-UHFFFAOYSA-N
10352,45.0,JFNLZVQOOSMTJK-UHFFFAOYSA-N
6991,9.0,BBUPBICWUURTNP-UHFFFAOYSA-N
7433,205.0,VYWYYJYRVSBHJQ-UHFFFAOYSA-N
2723789,183.0,BRWIZMBXBAOCCF-UHFFFAOYSA-N
8333,147.0,PYHXGXCGESYPCW-UHFFFAOYSA-N
10943,-24.8,ZPQOPVIELGIULI-UHFFFAOYSA-N
88267,2.0,RUGISKODRCWQNE-UHFFFAOYSA-N
1731,107.0,JQVAPEJNIZULEK-UHFFFAOYSA-N
7443,43.0,NTBYINQTYWZXLH-UHFFFAOYSA-N
6326,-80.7,HSFWRNGVRCDJHI-UHFFFAOYSA-N
7148,18.6,KRIOVPPHQSLHCZ-UHFFFAOYSA-N
28777,92.6,UEZWYKZHXASYJN-UHFFFAOYSA-N
11890,40.5,MRCKRGSNLOHYRA-UHFFFAOYSA-N
697993,181.0,YXIWHUQXZSMYRE-UHFFFAOYSA-N
7090,126.0,CMCWWLVWPDLCRM-UHFFFAOYSA-N
7407,-23.2,XYLMUPLGERFSHI-UHFFFAOYSA-N
3314,-9.1,RRAFCDWBNXTKKO-UHFFFAOYSA-N
9741,-69.0,UEMGWPRHOOEKTA-UHFFFAOYSA-N
7912,-61.0,UAOMVDZJSHZZME-UHFFFAOYSA-N
