Species,InChIKey,Hcp
"2,2,3,5-tetramethylhexane",GCFKTDRTZYDRBI-UHFFFAOYSA-N,8.4e-07
"2,2,4,4-tetramethylhexane",PXHNHTBJHHSVPT-UHFFFAOYSA-N,8.8e-07
"2,2,4,5-tetramethylhexane",KDRZICOOQNIJDN-UHFFFAOYSA-N,8e-07
"2,2,5,5-tetramethylhexane",HXQDUXXBVMMIKL-UHFFFAOYSA-N,4.6e-07
"2,3,3,4-tetramethylhexane",HIHSOGFAVTVMCY-UHFFFAOYSA-N,1.4e-06
"2,3,3,5-tetramethylhexane",GCGFXFIPOBRMQT-UHFFFAOYSA-N,9.2e-07
"2,3,4,4-tetramethylhexane",XDRDDPSGUQMOBO-UHFFFAOYSA-N,1.3e-06
"2,3,4,5-tetramethylhexane",BHGNYYIOYPFWKC-UHFFFAOYSA-N,1.2e-06
"3,3,4,4-tetramethylhexane",MCEYLFHKATVXLN-UHFFFAOYSA-N,2.2e-06
"3-ethyl-2,2-dimethylhexane",XYDYODCWVCBIOQ-UHFFFAOYSA-N,1.8e-06
"4-ethyl-2,2-dimethylhexane",QHLDBFLIDFTHQI-UHFFFAOYSA-N,1.1e-06
"3-ethyl-2,3-dimethylhexane",PJIFKODHGMUPFH-UHFFFAOYSA-N,2e-06
"4-ethyl-2,3-dimethylhexane",RHMRCCBCYFAZIK-UHFFFAOYSA-N,1.6e-06
"3-ethyl-2,4-dimethylhexane",OSKIMJMPFNLVOU-UHFFFAOYSA-N,1.6e-06
"4-ethyl-2,4-dimethylhexane",SIKFMUYSQCEQOO-UHFFFAOYSA-N,1.3e-06
"3-ethyl-2,5-dimethylhexane",UJEUVDLASLOZIV-UHFFFAOYSA-N,1.1e-06
"4-ethyl-3,3-dimethylhexane",ZRTXVJYJVBTXHE-UHFFFAOYSA-N,1.9e-06
"3-ethyl-3,4-dimethylhexane",ZGJCTUKRTSBTIQ-UHFFFAOYSA-N,2.2e-06
"3,3-diethylhexane",WWNGLKDLYKNGGT-UHFFFAOYSA-N,3.4e-06
"3,4-diethylhexane",VBZCRMTUDYIWIH-UHFFFAOYSA-N,1.8e-06
2-methyl-3-(1-methylethyl)-hexane,YBOXGRMAQIYMGV-UHFFFAOYSA-N,1.5e-06
"2,2,3,3,4-pentamethylpentane",WKQBIIUOSATALN-UHFFFAOYSA-N,1.3e-06
"2,2,3,4,4-pentamethylpentane",OWFKEHICSVOVAC-UHFFFAOYSA-N,8.6e-07
"3-ethyl-2,2,3-trimethylpentane",AJDIFHIHSYVDGP-UHFFFAOYSA-N,2.1e-06
"3-ethyl-2,2,4-trimethylpentane",VLIZIVHXZXQRDE-UHFFFAOYSA-N,1.2e-06
"3-ethyl-2,3,4-trimethylpentane",OHZNMGSGEFVFTI-UHFFFAOYSA-N,1.5e-06
"3,3-diethyl-2-methylpentane",DSSAZLXYIQIXGW-UHFFFAOYSA-N,2.3e-06
"2,4-dimethyl-3-(1-methylethyl)-pentane",YVYHOOYMDHZALB-UHFFFAOYSA-N,1e-06
undecane,RSJKGSCJYJTIGS-UHFFFAOYSA-N,5.4e-07
dodecane,SNRUBQQJIBEYMU-UHFFFAOYSA-N,1.3e-06
"2,2,4,6,6-pentamethylheptane",VKPSKYDESGTTFR-UHFFFAOYSA-N,1.1e-06
tridecane,IIYFAKIEWZDVMP-UHFFFAOYSA-N,7.9e-07
tetradecane,BGHCVCJVXZWKCC-UHFFFAOYSA-N,1.1e-06
pentadecane,YCOZIPAWZNQLMR-UHFFFAOYSA-N,7.6e-07
hexadecane,DCAYPVUWAIABOU-UHFFFAOYSA-N,2.6e-06
heptadecane,NDJKXXJCMXVBJW-UHFFFAOYSA-N,2.2e-07
octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,1.6e-06
nonadecane,LQERIDTXQFOHKA-UHFFFAOYSA-N,1.3e-07
eicosane,CBFCDTFDPHXCNY-UHFFFAOYSA-N,5e-06
heneicosane,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,7.3e-08
docosane,HOWGUJZVBDQJKV-UHFFFAOYSA-N,5.4e-08
tricosane,FIGVVZUWCLSUEI-UHFFFAOYSA-N,4.1e-08
tetracosane,POOSGDOYLQNASK-UHFFFAOYSA-N,3.1e-08
pentacosane,YKNWIILGEFFOPE-UHFFFAOYSA-N,1.5e-08
hexacosane,HMSWAIKSFDFLKN-UHFFFAOYSA-N,5e-05
heptacosane,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,7.7e-09
octacosane,ZYURHZPYMFLWSH-UHFFFAOYSA-N,5.6e-09
nonacosane,IGGUPRCHHJZPBS-UHFFFAOYSA-N,4e-09
triacontane,JXTPJDDICSTXJX-UHFFFAOYSA-N,2.9e-09
dotriacontane,QHMGJGNTMQDRQA-UHFFFAOYSA-N,1.5e-09
pentatriacontane,VHQQPFLOGSTQPC-UHFFFAOYSA-N,5.8e-10
hexatriacontane,YDLYQMBWCWFRAI-UHFFFAOYSA-N,860000000.0
octatriacontane,BVKCQBBZBGYNOP-UHFFFAOYSA-N,2.2e-10
cyclopropane,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,0.00011
