Species,InChIKey,Hcp
"2,3-dimethyloctane",YPMNDMUOGQJCLW-UHFFFAOYSA-N,1.7E-06
"2,4-dimethyloctane",IXAVTTRPEXFVSX-UHFFFAOYSA-N,1.2E-06
"2,5-dimethyloctane",HOAAQUNESXYFDT-UHFFFAOYSA-N,1.3E-06
"2,6-dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,1.2E-06
"2,7-dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,1.0E-06
"3,3-dimethyloctane",DBULLUBYDONGLT-UHFFFAOYSA-N,1.7E-06
"3,4-dimethyloctane",QQCWGAMGBCGAQJ-UHFFFAOYSA-N,2.0E-06
"3,5-dimethyloctane",VRHRGVJOUHJULC-UHFFFAOYSA-N,1.4E-06
"3,6-dimethyloctane",JEEQUUSFXYRPRK-UHFFFAOYSA-N,1.3E-06
"4,4-dimethyloctane",ZMEDGZAGMLTROM-UHFFFAOYSA-N,1.5E-06
"4,5-dimethyloctane",DOYJTLUPPPUSMD-UHFFFAOYSA-N,2.1E-06
3-ethyloctane,OEYGTUAKNZFCDJ-UHFFFAOYSA-N,2.2E-06
4-ethyloctane,NRJUFUBKIFIKFI-UHFFFAOYSA-N,2.4E-06
"2,2,3-trimethylheptane",ACYHSTUWOQNWCX-UHFFFAOYSA-N,1.6E-06
"2,2,4-trimethylheptane",IIYGOARYARWJBO-UHFFFAOYSA-N,1.6E-06
"2,2,5-trimethylheptane",GZJFAWOTMWATOS-UHFFFAOYSA-N,1.6E-06
"2,2,6-trimethylheptane",FHJCGIUZJXWNET-UHFFFAOYSA-N,1.7E-06
"2,3,3-trimethylheptane",QACXEXNKLFWKLK-UHFFFAOYSA-N,1.6E-06
"2,3,4-trimethylheptane",UVVYAKOLFKEZEE-UHFFFAOYSA-N,1.6E-06
"2,3,5-trimethylheptane",YKPNYFKOKKKGNM-UHFFFAOYSA-N,1.1E-06
"2,3,6-trimethylheptane",IHPXJGBVRWFEJB-UHFFFAOYSA-N,1.1E-06
"2,4,4-trimethylheptane",QALGVLROELGEEM-UHFFFAOYSA-N,1.1E-06
"2,4,5-trimethylheptane",YMBNRMDSLJNNPF-UHFFFAOYSA-N,1.1E-06
"2,4,6-trimethylheptane",YNLBBDHDNIXQNL-UHFFFAOYSA-N,7.5E-07
"2,5,5-trimethylheptane",SOYLPZSOEXZMLE-UHFFFAOYSA-N,1.1E-06
"3,3,4-trimethylheptane",WRBHKVWLEIYLDZ-UHFFFAOYSA-N,1.9E-06
"3,3,5-trimethylheptane",VRVRZZWPKABUOE-UHFFFAOYSA-N,1.2E-06
"3,4,4-trimethylheptane",BLNBSBLKPFFJKQ-UHFFFAOYSA-N,1.9E-06
"3,4,5-trimethylheptane",LJIIBBYARMPSMT-UHFFFAOYSA-N,2.3E-06
3-ethyl-2-methylheptane,NKMJCVVUYDKHAV-UHFFFAOYSA-N,2.0E-06
4-ethyl-2-methylheptane,OJDKRASKNKPYDH-UHFFFAOYSA-N,1.4E-06
5-ethyl-2-methylheptane,DGEMPTLPTFNEHJ-UHFFFAOYSA-N,1.4E-06
3-ethyl-3-methylheptane,HSOMNBKXPGCNBH-UHFFFAOYSA-N,2.2E-06
4-ethyl-3-methylheptane,BTGGSWBKRYMHQK-UHFFFAOYSA-N,2.2E-06
3-ethyl-5-methylheptane,VXARVYMIZCGZGG-UHFFFAOYSA-N,1.3E-06
3-ethyl-4-methylheptane,JZBKRUIGSVOOIC-UHFFFAOYSA-N,2.2E-06
4-ethyl-4-methylheptane,MPYQJQDSICRCJJ-UHFFFAOYSA-N,2.4E-06
4-propylheptane,ABYGSZMCWVXFCQ-UHFFFAOYSA-N,1.6E-06
4-(1-methylethyl)-heptane,AZLAWGCUDHUQDB-UHFFFAOYSA-N,2.1E-06
"2,2,3,3-tetramethylhexane",RMQHJMMCLSJULX-UHFFFAOYSA-N,1.8E-06
"2,2,3,4-tetramethylhexane",MHPSPNGWFAGBNH-UHFFFAOYSA-N,1.2E-06
"2,2,3,5-tetramethylhexane",GCFKTDRTZYDRBI-UHFFFAOYSA-N,8.4E-07
"2,2,4,4-tetramethylhexane",PXHNHTBJHHSVPT-UHFFFAOYSA-N,8.8E-07
"2,2,4,5-tetramethylhexane",KDRZICOOQNIJDN-UHFFFAOYSA-N,8.0E-07
"2,2,5,5-tetramethylhexane",HXQDUXXBVMMIKL-UHFFFAOYSA-N,4.6E-07
"2,3,3,4-tetramethylhexane",HIHSOGFAVTVMCY-UHFFFAOYSA-N,1.4E-06
"2,3,3,5-tetramethylhexane",GCGFXFIPOBRMQT-UHFFFAOYSA-N,9.2E-07
"2,3,4,4-tetramethylhexane",XDRDDPSGUQMOBO-UHFFFAOYSA-N,1.3E-06
"2,3,4,5-tetramethylhexane",BHGNYYIOYPFWKC-UHFFFAOYSA-N,1.2E-06
"3,3,4,4-tetramethylhexane",MCEYLFHKATVXLN-UHFFFAOYSA-N,2.2E-06
"3-ethyl-2,2-dimethylhexane",XYDYODCWVCBIOQ-UHFFFAOYSA-N,1.8E-06
"4-ethyl-2,2-dimethylhexane",QHLDBFLIDFTHQI-UHFFFAOYSA-N,1.1E-06
"3-ethyl-2,3-dimethylhexane",PJIFKODHGMUPFH-UHFFFAOYSA-N,2.0E-06
"4-ethyl-2,3-dimethylhexane",RHMRCCBCYFAZIK-UHFFFAOYSA-N,1.6E-06
"3-ethyl-2,4-dimethylhexane",OSKIMJMPFNLVOU-UHFFFAOYSA-N,1.6E-06
"4-ethyl-2,4-dimethylhexane",SIKFMUYSQCEQOO-UHFFFAOYSA-N,1.3E-06
"3-ethyl-2,5-dimethylhexane",UJEUVDLASLOZIV-UHFFFAOYSA-N,1.1E-06
"4-ethyl-3,3-dimethylhexane",ZRTXVJYJVBTXHE-UHFFFAOYSA-N,1.9E-06
"3-ethyl-3,4-dimethylhexane",ZGJCTUKRTSBTIQ-UHFFFAOYSA-N,2.2E-06
"3,3-diethylhexane",WWNGLKDLYKNGGT-UHFFFAOYSA-N,3.4E-06
"3,4-diethylhexane",VBZCRMTUDYIWIH-UHFFFAOYSA-N,1.8E-06
2-methyl-3-(1-methylethyl)-hexane,YBOXGRMAQIYMGV-UHFFFAOYSA-N,1.5E-06
"2,2,3,3,4-pentamethylpentane",WKQBIIUOSATALN-UHFFFAOYSA-N,1.3E-06
"2,2,3,4,4-pentamethylpentane",OWFKEHICSVOVAC-UHFFFAOYSA-N,8.6E-07
"3-ethyl-2,2,3-trimethylpentane",AJDIFHIHSYVDGP-UHFFFAOYSA-N,2.1E-06
"3-ethyl-2,2,4-trimethylpentane",VLIZIVHXZXQRDE-UHFFFAOYSA-N,1.2E-06
"3-ethyl-2,3,4-trimethylpentane",OHZNMGSGEFVFTI-UHFFFAOYSA-N,1.5E-06
"3,3-diethyl-2-methylpentane",DSSAZLXYIQIXGW-UHFFFAOYSA-N,2.3E-06
"2,4-dimethyl-3-(1-methylethyl)-pentane",YVYHOOYMDHZALB-UHFFFAOYSA-N,1.0E-06
undecane,RSJKGSCJYJTIGS-UHFFFAOYSA-N,5.4E-07
dodecane,SNRUBQQJIBEYMU-UHFFFAOYSA-N,1.3E-06
"2,2,4,6,6-pentamethylheptane",VKPSKYDESGTTFR-UHFFFAOYSA-N,1.1E-06
tridecane,IIYFAKIEWZDVMP-UHFFFAOYSA-N,7.9E-07
tetradecane,BGHCVCJVXZWKCC-UHFFFAOYSA-N,1.1E-06
pentadecane,YCOZIPAWZNQLMR-UHFFFAOYSA-N,7.6E-07
hexadecane,DCAYPVUWAIABOU-UHFFFAOYSA-N,2.6E-06
heptadecane,NDJKXXJCMXVBJW-UHFFFAOYSA-N,2.2E-07
octadecane,RZJRJXONCZWCBN-UHFFFAOYSA-N,1.6E-06
nonadecane,LQERIDTXQFOHKA-UHFFFAOYSA-N,1.3E-07
eicosane,CBFCDTFDPHXCNY-UHFFFAOYSA-N,5.0E-06
heneicosane,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,7.3E-08
docosane,HOWGUJZVBDQJKV-UHFFFAOYSA-N,5.4E-08
tricosane,FIGVVZUWCLSUEI-UHFFFAOYSA-N,4.1E-08
tetracosane,POOSGDOYLQNASK-UHFFFAOYSA-N,3.1E-08
pentacosane,YKNWIILGEFFOPE-UHFFFAOYSA-N,1.5E-08
hexacosane,HMSWAIKSFDFLKN-UHFFFAOYSA-N,5.0E-05
heptacosane,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,7.7E-09
octacosane,ZYURHZPYMFLWSH-UHFFFAOYSA-N,5.6E-09
nonacosane,IGGUPRCHHJZPBS-UHFFFAOYSA-N,4.0E-09
triacontane,JXTPJDDICSTXJX-UHFFFAOYSA-N,2.9E-09
dotriacontane,QHMGJGNTMQDRQA-UHFFFAOYSA-N,1.5E-09
pentatriacontane,VHQQPFLOGSTQPC-UHFFFAOYSA-N,5.8E-10
hexatriacontane,YDLYQMBWCWFRAI-UHFFFAOYSA-N,8.6E+08
octatriacontane,BVKCQBBZBGYNOP-UHFFFAOYSA-N,2.2E-10
cyclopropane,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,1.1E-04
cyclobutane,PMPVIKIVABFJJI-UHFFFAOYSA-N,7.0E-05
cyclopentane,RGSFGYAAUTVSQA-UHFFFAOYSA-N,5.4E-05
cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,5.6E-05
cycloheptane,DMEGYFMYUHOHGS-UHFFFAOYSA-N,8.2E-05
cyclooctane,WJTCGQSWYFHTAC-UHFFFAOYSA-N,7.1E-05
methylcyclopentane,GDOPTJXRTPNYNR-UHFFFAOYSA-N,2.7E-05
methylcyclohexane,UAEPNZWRGJTJPN-UHFFFAOYSA-N,2.5E-05
methylcyclohexane-d14,UAEPNZWRGJTJPN-OBYKGMMLSA-N,3.1E-04
ethylcyclohexane,IIEWJVIFRVWJOD-UHFFFAOYSA-N,2.1E-05
methylcycloheptane,GYNNXHKOJHMOHS-UHFFFAOYSA-N,2.1E-05
"1,2-dimethylcyclohexane",KVZJLSYJROEPSQ-UHFFFAOYSA-N,2.1E-05
"{\it cis}-1,2-dimethylcyclohexane",KVZJLSYJROEPSQ-OCAPTIKFSA-N,2.8E-05
"{\it trans}-1,2-dimethylcyclohexane",KVZJLSYJROEPSQ-YUMQZZPRSA-N,1.7E-05
"1,4-dimethylcyclohexane",QRMPKOFEUHIBNM-UHFFFAOYSA-N,1.5E-05
"{\it trans}-1,4-dimethylcyclohexane",QRMPKOFEUHIBNM-ZKCHVHJHSA-N,1.1E-05
"1,1,2-trimethylcyclopentane",WINCSBAYCULVDU-UHFFFAOYSA-N,6.9E-06
"1,1,3-trimethylcyclopentane",OBKHYUIZSOIEPG-UHFFFAOYSA-N,6.3E-06
"1,1,3-trimethylcyclohexane",PYOLJOJPIPCRDP-UHFFFAOYSA-N,9.5E-06
propylcyclopentane,KDIAMAVWIJYWHN-UHFFFAOYSA-N,1.1E-05
pentylcyclopentane,HPQURZRDYMUHJI-UHFFFAOYSA-N,5.4E-06
cyclooctene,URYYVOIYTNXXBN-UPHRSURJSA-N,2.1E-04
decahydronaphthalene,NNBZCPXTIHJBJL-UHFFFAOYSA-N,7.2E-05
octahydro-1H-indene,BNRNAKTVFSZAFA-UHFFFAOYSA-N,8.8E-05
($Z$)-bicyclo[4.4.0]decane,NNBZCPXTIHJBJL-AOOOYVTPSA-N,4.3E-04
($E$)-bicyclo[4.4.0]decane,NNBZCPXTIHJBJL-MGCOHNPYSA-N,2.7E-04
"2,6,6-trimethylbicyclo[3.1.1]heptane",XOKSLPVRUOBDEW-UHFFFAOYSA-N,2.8E-05
"1,1'-bicyclohexyl",WVIIMZNLDWSIRH-UHFFFAOYSA-N,3.1E-05
cyclododecane,DDTBPAQBQHZRDW-UHFFFAOYSA-N,6.4E-06
"octahydro-1,1,2,3,3-pentamethyl-1H-indene",TUALLFJCLUYJEN-UHFFFAOYSA-N,9.0E-06
"1,1':3',1''-tercyclohexane",JBQRJHVXZMSLNH-UHFFFAOYSA-N,6.7E-06
"1,1'-(2-methylpentane-2,4-diyl)dicyclohexane",XUVKLBIJXLIPDZ-UHFFFAOYSA-N,2.9E-06
ethene,VGGSQFUCUMXWEO-UHFFFAOYSA-N,5.9E-05
propene,QQONPFPTGQHPMA-UHFFFAOYSA-N,4.7E-05
1-butene,VXNZUUAINFGPBY-UHFFFAOYSA-N,1.3E-04
2-butene,IAQRGUVFOMOMEM-UHFFFAOYSA-N,5.1E-05
{\it cis}-2-butene,IAQRGUVFOMOMEM-ARJAWSKDSA-N,5.5E-05
{\it trans}-2-butene,IAQRGUVFOMOMEM-ONEGZZNKSA-N,3.9E-05
2-methylpropene,VQTUBCCKSQIDNK-UHFFFAOYSA-N,5.6E-05
1-pentene,YWAKXRMUMFPDSH-UHFFFAOYSA-N,2.5E-05
2-pentene,QMMOXUPEWRXHJS-UHFFFAOYSA-N,4.4E-05
{\it cis}-2-pentene,QMMOXUPEWRXHJS-HYXAFXHYSA-N,4.4E-05
{\it trans}-2-pentene,QMMOXUPEWRXHJS-HWKANZROSA-N,4.2E-05
2-methyl-1-butene,MHNNAWXXUZQSNM-UHFFFAOYSA-N,2.3E-05
2-methyl-2-butene,BKOOMYPCSUNDGP-UHFFFAOYSA-N,7.4E-05
3-methyl-1-butene,YHQXBTXEYZIYOV-UHFFFAOYSA-N,1.8E-05
