1,2
C10H22,1.0×10−6
[52897-17-3],
"3-ethyl-2,2,4-trimethylpentane",1.2 ×10−6
C10H22,1.3×10−6
[52897-18-4],
"3-ethyl-2,3,4-trimethylpentane",1.5 10−6×
C10H22,1.1×10−6
[52897-19-5],
"3,3-diethyl-2-methylpentane",2.3 10−6×
C 10 H22,1.1 ×10−6
[52897-16-2],
"2,4-dimethyl-3-(1-methylethyl)-",1.0×10−6
pentane,
C10H22,1.3×10−6
"(2,4-dimethyl-3-isopropylpentane)",
[13475-79-1],
undecane,5.4×10−7
C11H24,5.2×10−6
[1120-21-4],4.9×10−7
dodecane,1.3 10−6×
C12H26,1.2 ×10−6
[112-40-3],1.2×10−6
"2,2,4,6,6-pentamethylheptane",1.1 10−6×
C 12 H26,2.3×10−7
[13475-82-6],2.4 10−5×
tridecane,7.9 ×10−7
C13H28,4.3 ×10−6
[629-50-5],
tetradecane,1.1 ×10−6
C14H30,2.6×10−6
[629-59-4],7.4 10−6×
pentadecane,7.6 10−7×
C15H32,4.0×10−7
[629-62-9],2.1×10−5
hexadecane,2.6×10−6
C16H34,2.7×10−5
[544-76-3],2.9×10−7
heptadecane,2.2×10−7
C17H36,1.8×10−4
[629-78-7],
octadecane,1.6×10
C18H38,7.8×10−4
[593-45-3],1.5×10−7
nonadecane,1.3×10−7
C19H40,3.4×10−3
[629-92-5],
eicosane,5.0 10−6×
C 20 H42,1.4×10−2
[112-95-8],9.7 10−8×
heneicosane,7.3×10−8
C21H44,
[629-94-7],
docosane,5.4 ×10−8
C22H46,
[629-97-0],
tricosane,4.1 −8×10
C23H48,
[638-67-5],
tetracosane,3.1 10−8×
C24H50,
[646-31-1],
pentacosane,1.5×10−8
C25H52,
[629-99-2],
hexacosane,5.0×10−5
C26H54,1.3×102
[630-01-3],1.1 ×10−8
heptacosane,7.7×10−9
C27H56,
[593-49-7],
octacosane,5.6×10−9
C28H58,
[630-02-4],
nonacosane,4.0 ×10−9
C29H60,
[630-03-5],
triacontane,2.9 ×10−9
C30H62,
[638-68-6],
dotriacontane,1.5×10
C32H66,
[544-85-4],
pentatriacontane,5.8 10−10×
C35H72,
[630-07-9],
hexatriacontane,8.6 108×
C36H74,
[630-06-8],
octatriacontane,2.2 ×10−10
C38H78,
[7194-85-6],
cyclopropane,1.1×10−4
C 3 H6,8.1 ×10−5
[75-19-4],7.8 10−5×
cyclobutane,7.0×10−5
C4H8,
[287-23-0],
cyclopentane,5.4 10−5×
C5H10,6.5×10−5
[287-92-3],5.6 10−5×
cyclohexane,5.6×10
C6H12,3.2×10−4
[110-82-7],8.0 10−5×
cycloheptane,8.2 ×10−5
C7H14,1.0×10−4
[291-64-5],1.1×10−4
cyclooctane,7.1 10−5×
C 8 H16,6.9×10−5
[292-64-8],9.3 10−5×
methylcyclopentane,2.7 ×10−5
C5H9CH3,2.7×10−5
[96-37-7],2.8 10−5×
methylcyclohexane,2.5×10−5
C6H11CH3,3.2×10−4
[108-87-2],1.5×10−4
